Canon City,Canon City Geology Club,http://www.canoncitygeologyclub.com/,Colorado 
Frisco,Colorado Gold Camp,http://coloradogoldcamp.com/,Colorado 
Lakewood,Colorado Mineral Society,http://www.coloradomineralsociety.org/,Colorado 
Alamosa,Colorado Prospector,http://www.coloradoprospector.com/,Colorado 
Colorado Springs,Colorado Springs Mineral Society,http://www.csms1936.com/,Colorado 
Salida,Columbine Gem and Mineral Society,http://rockaholics.org/,Colorado 
Denver,Denver Gem and Mineral Guild,http://denvergem.org/index.html,Colorado 
Boulder,Flatirons Mineral Club,http://flatironsmineralclub.org/,Colorado 
Fort Collins,Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/,Colorado 
Durango,Four Corners Gem & Mineral Club,http://www.durangorocks.org/,Colorado 
Denver,Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/,Colorado 
Grand Junction,Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/,Colorado 
Lake George,Lake George Gem & Mineral club,http://www.lggmclub.org/,Colorado 
Littleton,"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/,Colorado 
Arvada,Mile High Rock and Mineral Society,http://www.milehirams.com/,Colorado 
Arvada,North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php,Colorado 
Pueblo,Pueblo Rockhounds,http://www.pueblorockhounds.org/,Colorado 
Denver,Western Interior Paleontological Society,http://www.westernpaleo.org/,Colorado 
Bristol,Bristol Gem & Mineral Club,http://bristolgem.org/,Connecticut 
Danbury,Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/,Connecticut 
Meriden,Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/,Connecticut 
New Haven,New Haven Mineral Club,http://www.newhavenmineralclub.org/,Connecticut 
Stamford,Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/,Connecticut 
Wilmington,"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/,Delaware 
Melbourne,Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/,Florida 
Merritt Island,Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/,Florida 
Winter Park,Central Florida Mineral and Gem Society,http://www.cfmgs.org/,Florida 
Orlando,Florida Fossil Hunters,http://floridafossilhunters.com/,Florida 
Hollywood,Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/,Florida 
Ft. Myers,Fossil Club of Lee County,http://www.fcolc.com/,Florida 
Gainesville,Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/,Florida 
West Palm Beach,Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/,Florida 
Lakeland,"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/,Florida 
Jacksonville,"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/,Florida 
Miami,"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/,Florida 
Ft. Walton Beach,Playground Gem and Mineral Society,http://playgroundgem.org/,Florida 
Punta Gorda,Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/,Florida 
Port St Lucie,St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/,Florida 
St Petersburg,Suncoast Gem and Mineral Society,http://sgams.com/,Florida 
Palm Harbor,Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/,Florida 
Tampa,"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/,Florida 
The Villages,The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/,Florida 
Palm Coast,Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html,Florida 
Spring Hill,Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/,Florida 
Athens,Athens Rock and Gem Club,http://www.athensrockandgemclub.org/,Georgia 
Augusta,Augusta Gem & Mineral Society,http://agams.club/,Georgia 
Marietta,Cobb County Gem and Mineral Society,https://www.ccgms.org/,Georgia 
Norcross,"Georgia Mineral Society, Inc.",http://www.gamineral.org/,Georgia 
Macon,Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/,Georgia 
Rome,Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/,Georgia 
Honolulu,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,Hawaii 
Lewiston,"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/,Idaho 
